duration,control_leader,control_follower,title_leader,title_follower
30,,,61,56
11,70,68,,
15,43,73,,
34,,,50,50
30,50,40,,
30,50,50,,
31,,,50,50
45,,,50,50
31,50,50,,
36,,,50,1
37,50,45,,
37,,,50,10
38,56,43,,
41,0,100,,
39,50,50,,
40,50,40,,
44,,,50,40
47,50,30,,
38,,,45,40
47,,,50,30
41,,,50,50
51,50,50,,
29,,,40,10
45,40,40,,
43,,,50,50
63,50,40,,
31,,,50,50
47,50,20,,
32,8,94,,
53,,,50,50
34,,,50,20
46,50,40,,
42,50,50,,
37,50,50,,
38,,,50,50
38,50,50,,
45,,,22,16
42,,,50,25
64,,,50,50
46,50,20,,
46,,,50,40
42,,,40,30
62,,,70,30
45,,,50,50
50,,,50,40
53,50,25,,
49,,,50,40
58,40,50,,
82,50,40,,
63,,,50,40
65,,,50,50
43,50,40,,
55,,,50,40
47,,,40,50
68,50,30,,
54,,,50,50
53,,,50,40
52,,,50,40
56,38,39,,
65,50,5,,
53,50,40,,
69,50,30,,
66,40,40,,
48,50,25,,
66,,,50,43
34,,,50,50
82,,,28,31
85,,,40,40
67,50,80,,
81,40,40,,
75,0,50,,
31,40,40,,
87,,,50,30
86,50,50,,
77,50,50,,
39,,,50,50
65,,,50,50
88,100,10,,
96,50,50,,
67,,,45,40
48,50,5,,
91,,,49,50
105,,,55,40
115,50,40,,
98,,,50,20
137,50,45,,
68,50,50,,
83,51,19,,
59,,,40,40
114,40,45,,
47,,,50,50
121,,,40,40
61,50,40,,
74,50,50,,
144,,,50,50
181,50,30,,
80,,,50,45
204,,,40,35
142,70,30,,
38,50,50,,
265,,,50,40
181,,,50,50
288,36,49,,
519,,,20,50
60,,,50,100
