duration,morework_leader,morework_follower,lesswork_leader,lesswork_follower
28,50,50,,
24,40,35,,
41,50,50,,
37,,,85,39
31,,,50,10
41,40,60,,
41,,,60,30
25,30,50,,
47,18,69,,
38,,,50,44
47,,,75,25
40,,,61,40
48,50,50,,
54,,,55,45
41,,,55,40
35,,,60,40
43,50,50,,
51,,,50,30
43,30,70,,
55,,,50,50
49,50,50,,
50,40,55,,
54,40,50,,
49,,,65,35
48,,,50,30
57,,,50,30
38,,,66,40
48,,,60,30
49,75,60,,
41,50,50,,
46,,,40,40
43,40,50,,
51,50,50,,
60,,,55,40
54,50,30,,
37,,,50,50
60,50,50,,
58,,,60,40
36,40,40,,
52,40,60,,
30,45,60,,
45,,,50,40
63,50,40,,
38,,,61,70
45,,,70,30
60,50,40,,
72,,,70,30
58,,,50,30
64,50,50,,
66,50,50,,
39,,,50,30
77,50,50,,
55,39,39,,
59,,,50,50
58,50,50,,
67,50,50,,
80,40,50,,
70,,,49,50
70,,,61,39
81,,,60,40
67,25,50,,
75,30,64,,
56,40,60,,
51,,,65,30
81,,,50,50
80,,,60,30
71,50,50,,
71,,,60,40
80,,,49,36
77,40,60,,
68,40,50,,
86,,,60,40
91,,,70,20
48,63,52,,
89,,,54,40
97,,,40,10
65,,,60,60
107,30,60,,
87,50,50,,
127,40,30,,
121,35,50,,
129,40,35,,
79,50,60,,
140,,,35,30
154,40,60,,
60,50,50,,
158,,,60,40
160,50,50,,
175,,,64,36
70,,,70,40
27,,,51,60
256,50,50,,
277,,,36,58
274,,,56,40
54,,,50,50
271,,,60,40
42,35,60,,
400,40,70,,
772,50,30,,
71,,,50,50
